sphere 0.4 ===,,,,
force,  full_membrane_msg, contact_area_msg, mean_dis_msg, max_dis_msg
0,1.774,1.76051E-16,0.0015727,0.0102348
0,1.70999,1.36897E-17,0.00156509,0.0117218
0,1.75794,1.06451E-18,0.00158044,0.0123259
0,1.75975,1.37961E-19,0.0015564,0.0126721
0,1.72161,1.78797E-20,0.00151674,0.0123232
0,1.73093,1.39033E-21,0.00128737,0.0136759
0,1.71686,1.08112E-22,0.0011286,0.0107117
0,1.79287,8.40677E-24,0.00170167,0.0108654
0.0681371,1.75273,6.53711E-25,0.00199017,0.0106161
0.245867,1.79956,5.08325E-26,0.00231541,0.010429
0.407103,1.74447,3.95274E-27,0.00265479,0.0100697
0.229119,1.79997,0.0067465,0.00332004,0.0110346
0.390228,1.7954,0.00219965,0.00381596,0.0139782
0.456582,1.91103,0.0175088,0.00400514,0.0137327
0.541467,1.83,0.0121056,0.00401816,0.0131418
0.608267,1.81159,0.0155919,0.00405198,0.0126468
0.509118,1.88117,0.00285365,0.00411689,0.01715
0.666279,1.82788,0.00780546,0.00414756,0.0175861
0.661694,1.81282,0.0182184,0.00412404,0.0247269
0.70315,1.92831,0.0023611,0.00412853,0.0223958
0.72652,2.03277,0.0297729,0.00415958,0.024213
0.725501,1.89205,0.0344941,0.00417915,0.0249394
0.730468,1.99471,0.026392,0.00420394,0.0224998
0.706652,2.02224,0.0592971,0.00415376,0.0245775
0.66093,1.8585,0.0339189,0.00414227,0.0230436
0.608458,1.87431,0.0529156,0.00403771,0.0148968
0.577128,2.17458,0.0133367,0.00406062,0.0171817
0.641253,1.96653,0.0387327,0.004074,0.0164183
0.96449,1.94791,0.733154,0.00438687,0.020295
1.00346,1.902,1.19439,0.00444725,0.0261442
1.13611,1.81277,1.17095,0.004598,0.0223054
1.10541,1.9072,0.796525,0.00477958,0.0191208
1.07574,1.92296,0.879294,0.004784,0.0214711
1.11649,1.92908,0.639254,0.0047134,0.023667
1.07478,1.88943,0.686458,0.00472325,0.0259376
1.29371,1.92113,0.784453,0.00465116,0.027095
1.44559,1.9599,0.560128,0.00522672,0.0308126
1.4382,1.97491,0.537109,0.00530494,0.0338094
1.47889,1.88499,0.835299,0.00538392,0.0300382
1.47851,1.86977,0.922354,0.00533522,0.0295279
1.49558,1.97111,0.926428,0.00531313,0.0353651
1.49914,2.19655,0.635598,0.0053211,0.0309849
1.5122,2.0979,0.68051,0.0053359,0.0283295
1.49774,2.09196,0.77119,0.00531308,0.0365714
1.52589,2.14735,0.84262,0.00529153,0.0302868
1.69114,2.11988,0.839112,0.00529112,0.0270238
1.66337,1.89844,0.869284,0.0057603,0.0295057
1.69107,1.87594,0.837216,0.0057951,0.0298949
1.68681,1.98329,0.667269,0.00585848,0.0302988
1.69464,2.02394,0.68206,0.00585137,0.0300863
1.67535,2.07323,0.764439,0.00588092,0.0302258
1.70406,1.96512,0.798612,0.00592932,0.0303511
1.70839,1.95105,0.898215,0.00590643,0.0301501
1.71635,1.91865,0.950094,0.00597442,0.0307549
1.70916,1.93434,0.915038,0.00597527,0.0303767
1.72285,1.87856,0.80675,0.00600201,0.030814
1.72546,1.83224,0.917819,0.00603415,0.0312715
1.73151,2.03044,0.78099,0.00605515,0.0314627
1.7375,1.98018,0.860145,0.00607097,0.0316034
1.72896,1.91466,0.861394,0.00606684,0.031211
1.68814,1.96634,0.986035,0.00605475,0.0313705
1.79423,1.95626,0.6909,0.00602845,0.0324731
1.42642,2.02613,0.603756,0.00592429,0.031266
1.68241,2.07763,0.615301,0.00511915,0.0322294
1.83021,1.98837,0.490706,0.00602996,0.0354478
1.82881,2.01907,0.394194,0.00615776,0.0362297
1.83486,1.99121,0.360339,0.00623373,0.0379691
1.85167,1.98268,0.371447,0.00632054,0.0380343
1.85823,1.9773,0.342107,0.00647204,0.0385516
1.44196,1.82055,0.380273,0.005616,0.0321962
1.07676,2.02614,0.373287,0.00444721,0.0233301
1.12751,2.09256,0.59743,0.00382004,0.0214416
0.533061,2.1117,0.326131,0.0033355,0.0154708
0.49116,2.07357,0.0253599,0.00297749,0.0137731
0.462313,2.16797,0.00197199,0.00306046,0.0128127
0.490842,1.98409,0.000153342,0.00309414,0.0125129
0.139586,2.07436,1.19239E-05,0.00304878,0.0128304
0,1.96035,9.27199E-07,0.00227542,0.0114193
