setting up parameters 
setting up vis 
Creating point cloud

addPlane
 -0.0033125 -0.00222848 0.180034;
 -0.00328805 -0.00221203 0.17997;
 -0.00334662 -0.00225144 0.180542;
 -0.00331183 -0.00222803 0.180428;
 -0.00332071 -0.002234 0.179588;
 -0.00329322 -0.00221551 0.179949;
 -0.0032611 -0.0021939 0.179774;
 -0.0033419 -0.00224826 0.180695;
 -0.00327009 -0.00219995 0.179327;
 -0.00327302 -0.00220192 0.179794;
 -0.00332881 -0.00223945 0.179839;
 -0.00334458 -0.00225006 0.180402;
 -0.00329265 -0.00221512 0.179786;
 -0.00332229 -0.00223507 0.179961;
 -0.00335654 -0.00225811 0.179904;
 -0.00328758 -0.00221172 0.180075;
 -0.00334664 -0.00225145 0.180671;
 -0.00332619 -0.00223769 0.179936;
 -0.00328818 -0.00221212 0.180085;
 -0.00328139 -0.00220755 0.179893;
 -0.00329962 -0.00221982 0.179628;
 -0.00331892 -0.0022328 0.179859;
 -0.00333759 -0.00224536 0.180965;
 -0.00334878 -0.00225289 0.179994;
 -0.00329031 -0.00221355 0.179464;
 -0.00328088 -0.00220721 0.179441;
 -0.00327822 -0.00220542 0.180266;
 -0.00331185 -0.00222804 0.179689;
 -0.00333076 -0.00224076 0.180026;
 -0.00327319 -0.00220203 0.180316;
 -0.00337045 -0.00226747 0.180364;
 -0.00331641 -0.00223111 0.17988;
 -0.00328907 -0.00221271 0.179502;
 -0.00332347 -0.00223586 0.180153;
 -0.00330151 -0.00222109 0.179488;
 -0.00330145 -0.00222105 0.17995;
 -0.00333977 -0.00224683 0.179611;
 -0.00329885 -0.0022193 0.180362;
 -0.00328362 -0.00220905 0.179811;
 -0.00332139 -0.00223446 0.180016;
 -0.00331153 -0.00222782 0.178896;
 -0.00332067 -0.00223397 0.17942;
 -0.00328989 -0.00221327 0.179816;
 -0.00330267 -0.00222187 0.179854;
 -0.00329435 -0.00221627 0.179623;
 -0.00327623 -0.00220408 0.179711;
 -0.0033154 -0.00223043 0.180043;
 -0.00329148 -0.00221434 0.179692;
 -0.00330115 -0.00222085 0.179732;
 -0.00331261 -0.00222855 0.179722;
 -0.0033059 -0.00222404 0.179324;
 -0.0033306 -0.00224066 0.179811;
 -0.00331745 -0.00223181 0.180661;
 -0.00331959 -0.00223325 0.179855;
 -0.00333957 -0.00224669 0.179862;
 -0.00331621 -0.00223097 0.180386;
 -0.00331695 -0.00223147 0.179984;
 -0.00332653 -0.00223792 0.180498;
 -0.00331743 -0.0022318 0.179826;
 -0.00332052 -0.00223387 0.180084;
 -0.00330497 -0.00222341 0.179657;
 -0.00327551 -0.0022036 0.179638;
 -0.0032716 -0.00220096 0.178865;
 -0.0032656 -0.00219693 0.179151;
 -0.00329909 -0.00221946 0.179819;
 -0.00328212 -0.00220804 0.179442;
 -0.0033152 -0.00223029 0.180522;
 -0.0033141 -0.00222956 0.180378;
 -0.00331922 -0.002233 0.179945;
 -0.00331241 -0.00222842 0.179873;
 -0.00334802 -0.00225237 0.179622;
 -0.00328887 -0.00221258 0.17998;
 -0.00329245 -0.00221499 0.180044;
 -0.00334093 -0.00224761 0.180093;
 -0.003344 -0.00224967 0.180178;
 -0.00333665 -0.00224473 0.180206;
 -0.00330436 -0.002223 0.180096;
 -0.00330909 -0.00222619 0.179582;
