setting up parameters 
setting up vis 
Creating point cloud

addPlane
 -0.00331499 -0.00223015 0.180675;
 -0.00328502 -0.00220999 0.179042;
 -0.00327181 -0.0022011 0.178321;
 -0.00328452 -0.00220966 0.179014;
 -0.00327528 -0.00220344 0.178511;
 -0.00333097 -0.0022409 0.181546;
 -0.00334447 -0.00224998 0.182282;
 -0.00334064 -0.00224741 0.182073;
 -0.00336338 -0.00226271 0.183312;
 -0.00332285 -0.00223544 0.181103;
 -0.00329535 -0.00221694 0.179605;
 -0.00329114 -0.00221411 0.179375;
 -0.00330141 -0.00222102 0.179935;
 -0.00332759 -0.00223863 0.181362;
 -0.0033216 -0.0022346 0.181035;
 -0.00333287 -0.00224218 0.181649;
 -0.00329535 -0.00221694 0.179605;
 -0.00332051 -0.00223387 0.180976;
 -0.00333825 -0.0022458 0.181943;
 -0.00334504 -0.00225037 0.182313;
 -0.00328844 -0.00221229 0.179228;
 -0.00329833 -0.00221895 0.179767;
 -0.00330342 -0.00222237 0.180044;
 -0.00334562 -0.00225076 0.182345;
 -0.00325863 -0.00219224 0.177603;
 -0.00330236 -0.00222166 0.179987;
 -0.0033645 -0.00226346 0.183373;
 -0.00327842 -0.00220555 0.178682;
 -0.00327487 -0.00220316 0.178488;
 -0.00333768 -0.00224542 0.181911;
 -0.003285 -0.00220998 0.17904;
 -0.00335551 -0.00225741 0.182883;
 -0.00331073 -0.00222729 0.180443;
 -0.00329511 -0.00221678 0.179592;
 -0.00334198 -0.00224831 0.182146;
 -0.00327262 -0.00220165 0.178366;
 -0.0033512 -0.00225451 0.182648;
 -0.00329582 -0.00221726 0.17963;
 -0.00327876 -0.00220578 0.178701;
 -0.00333088 -0.00224085 0.181541;
 -0.00332945 -0.00223988 0.181463;
 -0.0032964 -0.00221765 0.179662;
 -0.00337348 -0.00226951 0.183863;
 -0.00331956 -0.00223323 0.180924;
 -0.00330656 -0.00222448 0.180215;
 -0.00332406 -0.00223625 0.181169;
 -0.00329412 -0.00221611 0.179538;
 -0.00330722 -0.00222493 0.180252;
 -0.00328188 -0.00220788 0.17887;
 -0.00332157 -0.00223458 0.181033;
 -0.00331115 -0.00222757 0.180466;
 -0.00329687 -0.00221797 0.179688;
 -0.0033689 -0.00226642 0.183613;
 -0.00331409 -0.00222955 0.180626;
 -0.00334344 -0.0022493 0.182226;
 -0.00336533 -0.00226402 0.183419;
 -0.00330356 -0.00222246 0.180052;
 -0.00332529 -0.00223709 0.181237;
 -0.00332823 -0.00223906 0.181396;
 -0.00333895 -0.00224628 0.181981;
 -0.00333372 -0.00224275 0.181696;
 -0.00334171 -0.00224813 0.182131;
 -0.00336185 -0.00226168 0.183229;
 -0.00333043 -0.00224054 0.181516;
 -0.00334657 -0.0022514 0.182396;
 -0.0032915 -0.00221435 0.179395;
 -0.00328766 -0.00221177 0.179185;
 -0.00331346 -0.00222913 0.180592;
 -0.00334593 -0.00225097 0.182361;
 -0.00331597 -0.00223081 0.180728;
 -0.0032979 -0.00221866 0.179744;
 -0.00328808 -0.00221205 0.179208;
 -0.00330312 -0.00222217 0.180028;
 -0.00331597 -0.00223082 0.180729;
 -0.00334065 -0.00224742 0.182074;
 -0.00330168 -0.0022212 0.179949;
 -0.00336871 -0.00226629 0.183603;
 -0.00330497 -0.00222341 0.180129;
